,Temperature(ÁC),1,2,3,4,5,6,7,8,9,10,11,12
0:00:00,24,1737,926,608,,,,334,1711,975,,,
,,1187,788,616,,,,539,305,55343,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,3086,10759,1539,,,,417,743,6225
,,,,,9015,5425796,7836,,,,1753,331595,1115
,,,,,,,,,,,,,
,,112512,14245,2393,1310,850,593,436,361,310,243,248,218
,,,,,,,,,,,,,
1:59:59,24,283,162,181,,,,121,165,100,,,
,,376,242,180,,,,94,80,3793,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,1276,8953,1097,,,,129,110,1132
,,,,,7174,4623790,6970,,,,228,33698,164
,,,,,,,,,,,,,
,,51264,6667,1043,584,416,272,202,151,116,94,87,78
,,,,,,,,,,,,,
3:59:59,24,239,154,147,,,,103,150,79,,,
,,303,207,161,,,,102,77,1610,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,1922,15465,1833,,,,130,63,745
,,,,,13508,9537457,13625,,,,123,4494,82
,,,,,,,,,,,,,
,,39968,5402,892,552,411,295,204,132,112,97,83,65
,,,,,,,,,,,,,
5:59:59,24.5,204,143,152,,,,105,114,61,,,
,,310,185,142,,,,89,61,561,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,2078,17518,2099,,,,117,46,257
,,,,,15185,11078097,15514,,,,80,630,64
,,,,,,,,,,,,,
,,37170,4473,699,449,384,265,176,125,94,86,72,53
,,,,,,,,,,,,,
7:59:59,25.5,178,108,93,,,,63,72,46,,,
,,237,147,136,,,,53,44,225,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,822,6261,783,,,,96,31,125
,,,,,5963,3968436,6049,,,,44,134,35
,,,,,,,,,,,,,
,,33926,3952,591,344,260,161,107,93,75,63,54,47
,,,,,,,,,,,,,
9:59:59,26.5,136,80,80,,,,48,32,27,,,
,,198,102,104,,,,48,38,112,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,378,2489,304,,,,65,20,61
,,,,,2473,1558110,2410,,,,31,48,23
,,,,,,,,,,,,,
,,25973,3005,442,261,179,114,78,65,49,42,36,27
,,,,,,,,,,,,,
12:00:00,26.5,114,68,60,,,,35,27,18,,,
,,128,102,61,,,,35,23,72,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,204,927,132,,,,42,13,40
,,,,,952,566465,872,,,,29,27,23
,,,,,,,,,,,,,
,,18003,2169,286,176,113,78,50,38,27,23,27,25
,,,,,,,,,,,,,
13:59:59,26.5,81,59,38,,,,25,17,16,,,
,,108,60,69,,,,19,22,38,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,115,323,61,,,,33,14,26
,,,,,356,167556,314,,,,15,23,14
,,,,,,,,,,,,,
,,12820,1526,233,147,78,50,35,27,25,23,14,18
,,,,,,,,,,,,,
15:59:59,27,83,39,33,,,,18,16,12,,,
,,87,46,38,,,,25,12,35,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,78,100,35,,,,32,12,12
,,,,,120,29101,85,,,,11,18,12
,,,,,,,,,,,,,
,,10034,1231,168,98,61,46,31,24,14,18,12,10
,,,,,,,,,,,,,
18:00:00,26.5,72,44,45,,,,14,11,16,,,
,,91,48,37,,,,20,14,16,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,68,41,35,,,,19,7,7
,,,,,69,1820,36,,,,10,13,12
,,,,,,,,,,,,,
,,8422,1040,136,75,48,29,31,20,12,9,8,9
,,,,,,,,,,,,,
20:00:00,26.5,61,38,38,,,,16,12,3,,,
,,73,38,29,,,,14,12,14,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,49,41,25,,,,23,10,4
,,,,,59,109,50,,,,12,14,8
,,,,,,,,,,,,,
,,7893,942,126,61,35,25,24,25,14,10,9,11
,,,,,,,,,,,,,
21:59:59,26.5,56,42,36,,,,20,14,9,,,
,,65,40,41,,,,16,9,13,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,60,47,21,,,,17,8,8
,,,,,64,44,39,,,,9,9,6
,,,,,,,,,,,,,
,,7262,862,125,64,35,27,19,23,16,14,12,11
,,,,,,,,,,,,,
23:59:59,27,64,33,24,,,,9,11,11,,,
,,67,35,40,,,,8,8,6,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,41,46,19,,,,14,9,3
,,,,,46,45,27,,,,8,10,11
,,,,,,,,,,,,,
,,5221,639,107,59,41,18,15,16,18,14,7,12
,,,,,,,,,,,,,
2.10:44:23,26,4018,4664,4480,,,,4445848,5673567,5372144,,,
,,4095,5301,3936,,,,4838250,5117422,5066060,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,900,939,1222,,,,4076970,3907731,6102574
,,,,,1067,1135,1268,,,,5999478,9044828,4814770
,,,,,,,,,,,,,
,,124,119,149,179,211,267,321,397,583,1000,1226,1089
,,,,,,,,,,,,,
2.12:44:23,26.5,479,610,690,,,,4801412,5338378,5206840,,,
,,401,426,520,,,,5270409,5541724,4877110,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,3022216,3010538,3758325,,,,3530860,3165909,3627866
,,,,,2967462,3118420,3822834,,,,3277939,4053088,3313058
,,,,,,,,,,,,,
,,183,226,291,489,548,458,397,367,468,632,754,739
,,,,,,,,,,,,,
2.14:44:23,26.5,1033,1166,1202,,,,2702112,2708237,2639864,,,
,,914,1018,1102,,,,2820264,2781928,2454363,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,37404704,35521428,40675956,,,,1587216,1449983,1844397
,,,,,36136692,36946024,44323648,,,,1363051,1794924,1532823
,,,,,,,,,,,,,
,,991,1216,1825,3276,3702,2840,1734,1325,1056,913,884,748
,,,,,,,,,,,,,
2.16:44:23,26.5,1568,1763,1668,,,,1779413,1680132,1783808,,,
,,1518,1663,1858,,,,1849929,1868167,1680084,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,81168664,79462448,90015320,,,,1187162,1092705,1368547
,,,,,82688016,81240200,96293616,,,,1164353,1302027,1103263
,,,,,,,,,,,,,
,,1848,2492,3522,6207,7200,5355,3202,2378,1873,1597,1350,1189
,,,,,,,,,,,,,
2.18:44:23,27,2007,2196,2138,,,,1201031,1102375,1074640,,,
,,1956,2156,2494,,,,1381312,1311160,1152355,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,115999744,115413744,129882904,,,,835042,701082,870092
,,,,,117324688,116530496,133956264,,,,828411,943760,710787
,,,,,,,,,,,,,
,,2413,3468,4817,8352,9484,7144,4493,3055,2292,1899,1629,1392
,,,,,,,,,,,,,
2.20:44:24,27,1830,2050,1968,,,,728760,640749,576647,,,
,,1862,2043,2387,,,,910045,788708,640506,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,117916608,116776784,115365576,,,,542503,430867,460584
,,,,,117702768,117547424,110779568,,,,473091,505411,394487
,,,,,,,,,,,,,
,,2290,3253,4741,8178,9115,6606,3917,2883,2209,1777,1522,1315
,,,,,,,,,,,,,
2.22:44:23,27,1357,1494,1389,,,,361195,321284,272299,,,
,,1330,1544,1769,,,,509931,463578,338573,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,84794536,85237688,82602216,,,,280205,227771,226703
,,,,,83580224,84361408,75159488,,,,253109,269514,207363
,,,,,,,,,,,,,
,,1577,2138,3280,5669,6358,4655,2833,2140,1571,1240,1022,863
,,,,,,,,,,,,,
3.00:44:23,27,818,866,811,,,,159597,156882,101864,,,
,,761,847,1033,,,,348900,298340,188810,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,47039504,45457172,36649464,,,,57578,50266,40088
,,,,,42382992,38971428,35838200,,,,51091,54803,44365
,,,,,,,,,,,,,
,,735,1056,1540,2597,3039,2116,1303,973,679,567,482,393
,,,,,,,,,,,,,
3.02:44:23,27,539,454,359,,,,18956,19185,13477,,,
,,891,380,2759,,,,114427,116646,48523,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,13087458,13824104,12702748,,,,16181,10570,2206
,,,,,11191292,9256023,12868561,,,,15334,11802,8372
,,,,,,,,,,,,,
,,267,344,499,885,962,766,460,308,248,220,180,142
,,,,,,,,,,,,,
3.04:44:23,27.5,1824,970,409,,,,2036,1161,558,,,
,,3865,499,17216,,,,27952,26413,5260,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,10419079,10536384,7919866,,,,653,411,278
,,,,,8176228,8964347,6794830,,,,542,758,404
,,,,,,,,,,,,,
,,209,292,401,700,786,563,344,257,182,148,134,87
,,,,,,,,,,,,,
3.06:44:23,27.5,8807,2859,1478,,,,421,334,186,,,
,,13134,1015,96531,,,,12591,17847,1582,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,8105760,7558897,5140553,,,,129,125,117
,,,,,6538794,7570136,4394947,,,,122,190,111
,,,,,,,,,,,,,
,,162,214,281,561,619,407,254,192,136,110,108,89
,,,,,,,,,,,,,
3.08:44:24,27.5,30435,8207,4356,,,,285,255,126,,,
,,40963,2324,323995,,,,22344,30085,3223,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,5703313,5040969,3501960,,,,102,64,59
,,,,,4735734,5470511,2636842,,,,63,291,67
,,,,,,,,,,,,,
,,106,153,222,369,396,281,160,125,98,74,79,49
,,,,,,,,,,,,,
3.10:44:23,27.5,64404,16355,10843,,,,230,353,119,,,
,,93817,4359,584824,,,,33667,31310,5544,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,4049090,3512254,2305147,,,,171,102,46
,,,,,3435362,4030206,1378832,,,,77,8636,75
,,,,,,,,,,,,,
,,72,109,149,244,332,194,136,86,81,53,46,34
,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12
,,4.718261524,1.131749386,0.901038079, , , ,-291.5790059,-365.3093404,-356.536136, , , 
,,7.341369912,-0.677097291,36.22889796, , , ,-340.3090761,-383.3175697,-336.5036735, , , 
,, , , , , , , , , , , , 
,, , , , , , , , , , , , 
,, , , ,6078.311585,6102.903186,6852.671189, , , ,-269.959408,-238.3308709,-343.7165296
,, , , ,6465.444443,-6304.031981,7218.031881, , , ,-377.9993197,-693.3115138,-247.2629692
,, , , , , , , , , , , , 
,,-8.507605507,-1.052616159,-0.24166161,-0.426657739,0.485832039,-0.35263151,-0.212495554,-0.162079942,-0.123886297,0.094999747,-0.074998431,-0.065276412
~End,,,,,,,,,,,,,
Original Filename: Bioluminescence assay - ancestors 18 C; Date Last Saved: 8/18/2023 8:40:19 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Workflow:,,,,,,,,,,,,,
"-Cycle: Cycles=""13"" Interval=""02:00:00"" TotalRunTime=""1.00:00:00"" ",,,,,,,,,,,,,
"--Set Temperature: IsTemperatureControlOn=""True"" MaximumTemperature=""66"" MinimumTemperature=""15"" ",,,,,,,,,,,,,
---Null: ,,,,,,,,,,,,,
---SetTemperatureWithWaitActivity.TemperatureToSet: ,,,,,,,,,,,,,
---SetTemperatureWithWaitActivity.WaitTemperatureToRise: ,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,
---Null: ,,,,,,,,,,,,,
---ReadPlateActivity.SectionNameToRead: ,,,,,,,,,,,,,